company,avg
warnerbros,81913421.88990825
columbiapictures,78504657.21327014
universalpictures,77798237.0
waltdisneypictures,117009673.77419356
marvelstudios,228272711.92727274
paramountpictures,89797383.81300813
20thcenturyfox,97012042.1734694
relativitymedia,62907701.70434783
dreamworkspictures,81498905.15853658
duneentertainment,90102542.82857142
legendarypictures,114495780.47272727
amblinentertainment,92099609.5
newlinecinema,58161033.89
regencyenterprises,40771483.33802817
disneypixar,238092690.875
dreamworksanimation,130183306.39534883
villageroadshowproductions,72583173.32876712
lucasfilm,233742460.36363637
metrogoldwynmayerpictures,57700692.79518072
lionsgate,33168852.510638297
touchstonepictures,68079262.11290322
ratpacentertainment,86163385.8478261
waltdisneyanimationstudios,157008646.4090909
heydayfilms,146683460.73913044
summitentertainment,47284930.84507042
jerrybruckheimer,145324229.19047618
dibonaventurapictures,91377167.33333333
fox2000pictures,54221897.36734694
imagineentertainment,54264212.333333336
illuminationentertainment,214221660.0
badrobot,126995073.55
1492pictures,112418386.18181819
thekennedymarshallcompany,87318494.78571428
originalfilm,74485285.09375
happymadison,68783328.26470588
blumhouse,25046678.76344086
workingtitlefilms,25027428.451612905
spyglassentertainment,77053934.03333333
tsgentertainment,66785477.72727273
twentiethcenturyfox,55443205.28947368
scottrudinproductions,48583455.0
templehillentertainment,71698972.65517241
wingnutfilms,168877936.66666666
silverpictures,60480995.36363637
syncopy,277659970.14285713
pdi,215396495.8888889
skydanceproductions,77373986.76
perfectworldpictures,73268929.88461539
eonproductions,76093847.64
castlerockentertainment,35821093.90384615
newregency,33674232.872727275
donnerscompany,119841749.73333333
tristarpictures,41385126.906976745
colorforce,147172026.75
revolutionstudios,50410019.428571425
hasbrostudios,125362239.35714285
sonypicturesanimation,90029460.26315789
cherninentertainment,76984306.36363636
atlasentertainment,98151598.94117647
screengems,34450558.229166664
sunsweptentertainment,116636750.42857143
waldenmedia,52279870.51612903
scottfreefilms,35192460.45652174
chrismeledandri,228990661.2857143
mandevillefilms,69539495.95652173
zancukcompany,132311864.58333333
participantmedia,19177619.234567903
ingeniousmedia,34481512.08888889
davisentertainment,38725963.175
overbrookentertainment,89724012.05882353
ingeniousfilmpartners,94338361.1875
lstarcapital,62708498.625
briangrazerproductions,82191181.77777778
blueskystudios,98556075.26666667
cruelandunusualfilms,241663709.5
rothfilms,130511152.2
kinberggenre,130454667.8
vertigoentertainment,52946481.708333336
weinsteincompany,30985651.243902437
foxsearchlightpictures,18134222.22857143
lauraziskinproductions,250335554.4
canalplus,6397321.840206185
gkfilms,72901479.35294117
malpasoproductions,69583843.58823529
planbentertainment,40782855.48275862
centropolisentertainment,83756052.07142857
focusfeatures,20867819.636363637
oneracefilms,103797651.63636364
fairviewentertainment,187805190.66666666
garysanchezproductions,52799267.38095238
alconentertainment,42629589.65384615
cruisewagner,158274803.42857143
juddapatow,90574792.08333333
unitedartists,44801512.458333336
lakeshoreentertainment,26790864.425
thesafrancompany,50740745.047619045
dentsuinc,70822466.26666667
parkesmacdonaldproductions,58014270.333333336
badhatharryproductions,130185934.625
21lapsentertainment,39911023.26923077
mosaicmedia,67622196.0
escapeartists,45903976.81818182
platinumdunes,67208368.66666667
imagemovers,77400645.07692307
blindingedgepictures,109569789.55555555
marcplattproductions,40601545.583333336
bluegrassfilms,52618407.61111111
thunderroadfilm,38682088.708333336
